 INFO  Accepting connections at http://localhost:8005
 HTTP  2/5/2026 5:48:43 PM 127.0.0.1 HEAD /
 HTTP  2/5/2026 5:48:43 PM 127.0.0.1 Returned 200 in 11 ms
 HTTP  2/5/2026 5:49:13 PM 127.0.0.1 GET /
 HTTP  2/5/2026 5:49:13 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:49:14 PM 127.0.0.1 GET /assets/index-179954eb.css
 HTTP  2/5/2026 5:49:14 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  2/5/2026 5:49:14 PM 127.0.0.1 GET /assets/index-ed09cec4.js
 HTTP  2/5/2026 5:49:14 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  2/5/2026 5:49:14 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:49:14 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:49:14 PM 127.0.0.1 GET /favicon.ico
 HTTP  2/5/2026 5:49:14 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  2/5/2026 5:49:21 PM 127.0.0.1 GET /
 HTTP  2/5/2026 5:49:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:49:21 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:49:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:50:22 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:50:22 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:51:21 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:51:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:52:23 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:52:23 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 5:53:23 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:53:23 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 5:54:22 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:54:22 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:55:22 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:55:22 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 5:56:23 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:56:23 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 5:57:24 PM 127.0.0.1 GET /usage.json
